order_id,customer_id,product_id,order_date,quantity,total_amount
1,1,101,2023-06-01,1,25.99
2,2,105,2023-06-02,1,129.99
3,3,103,2023-06-03,2,19.98
4,4,104,2023-06-04,1,29.99
5,5,102,2023-06-05,1,79.99
6,1,105,2023-06-10,1,129.99
7,2,101,2023-06-12,2,51.98
8,3,104,2023-06-15,1,29.99
9,4,103,2023-06-18,3,29.97
10,5,105,2023-06-20,1,129.99
11,6,106,2023-06-22,1,49.99
12,7,107,2023-06-25,1,89.99
13,8,108,2023-06-27,1,149.99
14,9,109,2023-06-29,2,39.98
15,10,110,2023-07-01,1,199.99
16,6,101,2023-07-03,1,25.99
17,7,103,2023-07-05,2,19.98
18,8,102,2023-07-07,1,79.99
19,9,104,2023-07-09,1,29.99
20,10,105,2023-07-11,1,129.99
